TITLE;AUTHOR;RATE;AVAILABILITY;BOOKTYPE;PRICE
FAHRENHEIT 451;['RAY BRADBURY'];8;True;Tapa dura;18.53
FAHRENHEIT 451;['RAY BRADBURY'];8;True;Tapa blanda;9.45
DUNE;['FRANK HERBERT'];9;True;Tapa blanda;10.4
DUNE;['FRANK HERBERT'];9;True;eBook;3.79
EL HOMBRE EN EL CASTILLO;['PHILIP K. DICK'];6;True;Tapa dura;10.92
EL HOMBRE EN EL CASTILLO;['PHILIP K. DICK'];6;True;Tapa blanda;7.55
GUERRA MUNDIAL Z;['MAX BROOKS'];8;True;Tapa blanda;9.45
GUERRA MUNDIAL Z;['MAX BROOKS'];8;True;eBook;6.64
GUIA DEL AUTOESTOPISTA GALACTICO;['DOUGLAS ADAMS'];None;True;Tapa blanda;10.35
GUIA DEL AUTOESTOPISTA GALACTICO;['DOUGLAS ADAMS'];None;True;eBook;8.54
TRILOGIA DE LA FUNDACION;['ISAAC ASIMOV'];8;True;Tapa blanda;14.21
TRILOGIA DE LA FUNDACION;['ISAAC ASIMOV'];8;True;eBook;10.44
¿SUEÑAN LOS ANDROIDES CON OVEJAS ELECTRICAS?;['PHILIP K. DICK'];None;True;Tapa dura;10.4
SOY LEYENDA;['RICHARD MATHESON'];None;True;Tapa blanda;7.55
SOY LEYENDA;['RICHARD MATHESON'];None;True;eBook;2.84
UBIK;['PHILIP K. DICK'];9;True;Tapa blanda;7.55
22/11/63;['STEPHEN KING'];8;True;Tapa blanda;10.4
22/11/63;['STEPHEN KING'];8;True;eBook;7.59
LA NARANJA MECANICA;['ANTHONY BURGESS'];9;True;Tapa dura;14.25
LA NARANJA MECANICA;['ANTHONY BURGESS'];9;True;Tapa blanda;7.55
VEINTE;['MANEL LOUREIRO'];None;True;Tapa blanda;9.45
VEINTE;['MANEL LOUREIRO'];None;True;eBook;2.84
LIBRO 1: HYPERION;['DAN SIMMONS'];9;True;Tapa blanda;11.4
LIBRO 1: HYPERION;['DAN SIMMONS'];9;True;eBook;7.59
CRONICAS MARCIANAS;['RAY BRADBURY'];9;True;Tapa dura;10.92
CRONICAS MARCIANAS;['RAY BRADBURY'];9;True;Tapa blanda;7.55
CRONICAS MARCIANAS;['RAY BRADBURY'];9;True;eBook;5.69
EL MESIAS DE DUNE;['FRANK HERBERT'];7;True;Tapa blanda;10.4
